"('quantity', 'mean')","('quantity', 'sum')","('order_ID', 'nunique')","('order_hour', 'nunique')","('order_hour', 'group_mode')","('day_of_month', 'nunique')","('day_of_month', 'group_mode')","('original_unit_price', 'mean')","('discount_rate', 'mean')","('direct_discount_rate', 'mean')","('quantity_discount_rate', 'mean')","('bundle_discount_rate', 'mean')","('gift_item', 'mean')","('dc_ori', 'nunique')","('dc_ori', 'group_mode')","('dc_des', 'nunique')","('dc_des', 'group_mode')","('promise', 'group_mode')","('type', 'group_mode')",brand_ID,attribute1,attribute2,cluster_id,sku_ID
0.0166134904570432,-0.1044008822132318,-0.1041492058530346,0.9384843584097278,"(20.0, 22.0]",0.4471325027310129,11,-0.1879848485801788,-0.6707750416308264,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,0.5280384841244619,2,0.0267798339834311,4,-,2,9d3465eacc,4.0,100.0,0,000aa92b82
-0.0851350144471674,-0.1273811621436532,-0.1284840196021646,-0.9006009545756225,"(8.0, 10.0]",-0.6787022865847706,12,0.0513918278132096,1.2166952456710125,2.3596267398748934,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.5906477844025427,9,-0.585263832777008,9,-,2,42e6445fca,4.0,100.0,4,000d4af39d
-0.0851350144471674,-0.1273811621436532,-0.1284840196021646,-0.9006009545756225,"(13.0, 15.0]",-0.6787022865847706,12,-0.0846416138376586,0.0665941116129212,0.6176213604240653,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.5906477844025427,5,-0.585263832777008,5,-,2,4f65703579,3.0,100.0,11,000dc27e13
-0.0851350144471674,-0.1273811621436532,-0.1284840196021646,-0.9006009545756225,"(0.0, 8.0]",-0.6787022865847706,19,-0.2143479186675563,-0.7199266639364829,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.5906477844025427,9,-0.585263832777008,9,-,2,137b63c785,3.0,100.0,11,000e84e3a7
-0.0410031328019676,0.0281776558468911,0.0529209556186229,1.858027014902403,"(18.0, 20.0]",2.448616572625739,14,-0.2016936450256151,0.2685721349817291,0.8840317652629042,-0.2638982722806178,-0.0431270330949308,-0.2299324442000872,0.7517757378298627,5,2.092427209299913,4,2,2,5a0b271e15,2.0,100.0,6,00104dbcd7
-0.0851350144471674,-0.1256134483028515,-0.1262717638067892,-0.5940867357447308,"(0.0, 8.0]",-0.5536095322163502,2,0.8106482463296839,-0.7199266639364829,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.3669105306971418,9,-0.508758374431953,27,-,2,bf17a9fcc9,-,-,11,001b448016
-0.0851350144471674,-0.1273811621436532,-0.1284840196021646,-0.9006009545756225,"(13.0, 15.0]",-0.6787022865847706,16,0.3645851004512553,1.4018503119642354,2.3053061420210503,0.4072058082758688,-0.0431270330949308,-0.2299324442000872,-0.5906477844025427,4,-0.585263832777008,4,-,2,7a99a41d60,4.0,100.0,4,0026623716
-0.0851350144471674,-0.1256134483028515,-0.1262717638067892,-0.5940867357447308,"(8.0, 10.0]",-0.5536095322163502,22,-0.0087159719860112,-0.7199266639364829,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.3669105306971418,7,-0.508758374431953,39,-,2,235542bb7b,-,50.0,11,002745ad2a
0.1237171798298964,-0.0389954701035711,-0.053267322559399,0.6319701395788361,"(8.0, 10.0]",-0.5536095322163502,1,-0.4503667724498156,2.981550494679792,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,4.381215377070825,0.7517757378298627,5,0.8683398757790349,2,-,2,556646a4ed,4.0,100.0,7,002cf934b4
-0.0851350144471674,-0.1220780206212482,-0.1218472522160383,-0.5940867357447308,"(13.0, 15.0]",-0.4285167778479298,29,-0.170057960920762,-0.7199266639364829,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.1431732769917408,4,-0.3557474577418433,6,-,2,da6aff76f9,3.0,60.0,11,00318091dc
0.2540266685668679,-0.1044008822132318,-0.110785973239161,0.3254559207479443,"(10.0, 11.0]",0.1969469939941721,14,-0.2048572134361004,1.1329067684644267,2.0276597927911726,0.1123744571034287,-0.0431270330949308,-0.2299324442000872,0.08056397671366,9,-0.0497256243616237,9,-,2,4f65703579,3.0,100.0,4,0037fe285c
-0.0851350144471674,-0.1273811621436532,-0.1284840196021646,-0.9006009545756225,"(13.0, 15.0]",-0.6787022865847706,8,0.0545553962236949,-0.3872939192770473,-0.5736855442326296,0.7914729490999198,-0.0431270330949308,-0.2299324442000872,-0.5906477844025427,4,-0.585263832777008,4,-,2,-,-,-,11,003da50ba1
-0.0851350144471674,-0.1203103067804466,-0.1196349964206628,0.0189417019170526,"(20.0, 22.0]",-0.178331269111089,2,-0.2621178016658845,-0.7199266639364829,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.1431732769917408,9,-0.2792419993967884,40,-,2,5581705260,-,-,11,00407cdf0c
0.2201105002654644,-0.1238457344620499,-0.1262717638067892,-0.9006009545756225,"(11.0, 13.0]",-0.5536095322163502,24,0.0798639435075774,1.6051083369993675,2.853685510831275,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.5906477844025427,2,-0.508758374431953,30,-,2,198cec62a1,-,-,4,0049af9c59
-0.0851350144471674,-0.1273811621436532,-0.1284840196021646,-0.9006009545756225,"(20.0, 22.0]",-0.6787022865847706,6,-0.0118795403964965,-0.7199266639364829,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.5906477844025427,4,-0.585263832777008,4,-,2,bd97f9a5fa,4.0,100.0,11,00544474cb
-0.0851350144471674,-0.1256134483028515,-0.1262717638067892,-0.5940867357447308,"(0.0, 8.0]",-0.5536095322163502,1,-0.2807828552877479,-0.3679343415455461,-0.5736855442326296,0.8581243453631295,-0.0431270330949308,-0.2299324442000872,-0.3669105306971418,10,-0.508758374431953,23,-,2,a3c6ee0858,3.0,40.0,11,00556fba9b
-0.0729626472960502,1.0463808281486364,1.311694503187259,1.858027014902403,"(13.0, 15.0]",3.0740803444678413,28,-0.0628653944722322,0.0888383048255447,-0.5725723598408733,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,0.9755129915352636,2,3.4695254595109013,2,-,2,3e342224f0,3.0,100.0,6,0059cabfce
-0.0851350144471674,-0.1256134483028515,-0.1262717638067892,-0.5940867357447308,"(13.0, 15.0]",-0.5536095322163502,19,0.1462988801277689,-0.7199266639364829,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.3669105306971418,24,-0.508758374431953,41,-,2,3ee5b84e96,-,-,11,005a5740d0
-0.0851350144471674,-0.1273811621436532,-0.1284840196021646,-0.9006009545756225,"(18.0, 20.0]",-0.6787022865847706,26,-0.3377270866764834,-0.5087312705019209,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.5906477844025427,9,-0.585263832777008,9,-,2,adbd559b78,3.0,60.0,11,005b8c2203
-0.0851350144471674,-0.1256134483028515,-0.1262717638067892,-0.5940867357447308,"(16.0, 18.0]",-0.5536095322163502,1,-0.0245338140384377,-0.7199266639364829,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,-0.3669105306971418,4,-0.508758374431953,4,-,2,07214c9898,-,60.0,11,0070f3c30d
-0.024085911504641,-0.1097040237356368,-0.1085737174437855,0.3254559207479443,"(13.0, 15.0]",0.1969469939941721,13,0.0545553962236949,-0.1544509980154425,0.1820497734089613,-0.3537192230588846,-0.0431270330949308,-0.2299324442000872,0.3043012304190609,9,-0.0497256243616237,9,-,2,3e342224f0,3.0,-,0,0074397ac8
-0.0702449893392341,-0.0549048946707859,-0.0399937877871463,1.858027014902403,"(8.0, 10.0]",-0.178331269111089,22,-0.4516155494539546,3.081590417885637,-0.5736855442326296,-0.3537192230588846,-0.0431270330949308,4.505840993861931,1.4229874989460656,5,0.8683398757790349,5,2,1,fbee78d4ae,3.0,-,7,00804aa873
