sku_ID,type,brand_ID,attribute1,attribute2,activate_date,deactivate_date
a234e08c57,1,c3ab4bf4d9,3.0,60.0,,
6449e1fd87,1,1d8b4b4c63,2.0,50.0,,
09b70fcd83,2,eb7d2a675a,3.0,70.0,,
acad9fed04,2,9b0d3a5fc6,3.0,70.0,,
2fa77e3b4d,2,b681299668,-,-,,
9c476f7d38,2,da12781e9e,-,-,,
34f4bde9a4,2,da12781e9e,-,-,,
08eebd3d4e,2,b681299668,2.0,50.0,,
0f380ef1bf,2,fd68e214e8,3.0,60.0,,
d66bddc96f,2,4f65703579,-,100.0,,
f0de647b20,2,b0e0ae4902,4.0,-,,
cca1221be8,2,ddb787aeb9,3.0,100.0,,
89ed37a8c7,2,ddb787aeb9,3.0,100.0,,
22e9ebcaec,2,f864d88130,-,-,,
dc6d55c7bf,2,6224afc07e,-,30.0,,
b3771ca7c1,2,f1d00479ef,2.0,30.0,,2018-03-23
02042d9606,2,1cd935548a,2.0,-,,
033b93b43f,2,885083a221,-,-,,
c25a3ca9bb,2,3860bee7ce,-,60.0,,
abb24cb58e,2,b7e5c0f937,3.0,60.0,,
93c75f535b,2,4efb032b5a,3.0,70.0,,
eeb5bca191,2,4efb032b5a,3.0,70.0,,
1ed576856f,2,756e32fa16,3.0,60.0,,
0c9a9ae0be,2,cf0544f945,-,-,,
c6779aac53,2,cf0544f945,-,-,,
03aeb718b4,2,4efb032b5a,2.0,70.0,,
924eba6741,1,a9d8fd0a21,2.0,-,,
39ff5c5b1e,1,d3b11464d2,3.0,50.0,,
fb209ec29d,1,a2ff0f7b48,3.0,100.0,,
93e45f6367,1,054757964e,3.0,80.0,,
5483430ce1,2,ba249420ea,-,-,,
581d5b54c1,2,198cec62a1,4.0,100.0,,
8f16ed321a,2,8d3560a6a9,3.0,-,,
aefceb7422,2,9b0d3a5fc6,3.0,60.0,,
63a296cb03,2,0b76f3c8dc,-,-,,
f29620d093,2,adbd559b78,3.0,60.0,,
d10b8d2fba,2,9b0d3a5fc6,-,-,,
b18d2da165,2,793c28adc3,-,-,,
6e810fb47f,2,3daeabd2ce,3.0,60.0,,
13205a5638,2,a2ff0f7b48,3.0,100.0,,2018-03-05
d5877aad59,2,a2ff0f7b48,3.0,100.0,,
efa9b279dc,2,a2ff0f7b48,4.0,100.0,,
715e33266b,2,a2ff0f7b48,3.0,100.0,,
5f6c227a18,2,a2ff0f7b48,4.0,100.0,,
a467028652,2,dc7e4ae5fc,-,-,,
c9cc859b7a,2,906d0caa60,-,40.0,,
8bb8ed0b35,2,906d0caa60,-,40.0,,
829276c821,2,906d0caa60,-,40.0,,
e28207c8ce,2,0b0f75e8d5,-,-,,
39e67c52c6,2,0b0f75e8d5,-,-,,
7c55221521,2,bd97f9a5fa,-,-,,
4b71006007,2,7d883ecf34,3.0,100.0,,
88c2ad6484,2,529267cc4e,4.0,100.0,,
ce5eb66a5d,2,4f65703579,-,-,,
ca34b74694,2,4f65703579,-,-,,
08a61ca4e9,2,8a5ee0390f,4.0,100.0,,
4a469ce64d,2,898df743db,3.0,100.0,,
3f6e3ba514,2,898df743db,3.0,100.0,,
03ac3bd3b1,2,898df743db,3.0,100.0,,
088f782e8c,2,898df743db,3.0,100.0,,
ed6bc8d9ce,2,12f592a448,4.0,100.0,,
7503a1144c,2,1d78a930c2,3.0,100.0,,
0356b93e97,2,1d78a930c2,-,-,,
4dcd7aec0c,2,1d78a930c2,3.0,100.0,,
