dc_ID,sku_ID,date
9,50f6f91962,2018-03-01
9,7f0ddbcdde,2018-03-01
9,8ad5789d74,2018-03-01
9,468d34eda4,2018-03-01
9,460afaddb6,2018-03-01
9,ecf4205e39,2018-03-01
9,8dd82f6cd5,2018-03-01
9,764b9e8d29,2018-03-01
9,66bd21ebf1,2018-03-01
9,fc5289b139,2018-03-01
9,4dffe8578b,2018-03-01
9,2e06817802,2018-03-01
9,b5cb479f7d,2018-03-01
9,93f9bac4b8,2018-03-01
9,6a0f1004bb,2018-03-01
9,3ce8749fee,2018-03-01
9,7bbbdd6388,2018-03-01
9,5f58bfd286,2018-03-01
9,ad516ecd31,2018-03-01
9,0b16a50488,2018-03-01
9,8038a0e904,2018-03-01
9,dd1fed906f,2018-03-01
9,8dc4a01dec,2018-03-01
9,fa0a1859ef,2018-03-01
9,2bcc2783a8,2018-03-01
9,0b2fd9f253,2018-03-01
9,416aed740e,2018-03-01
9,4b65db43ac,2018-03-01
9,39310bdad0,2018-03-01
9,5d0370c7e1,2018-03-01
9,c5c5bed056,2018-03-01
9,3d531a5f0e,2018-03-01
9,ec6efd9c71,2018-03-01
9,ad71b48a82,2018-03-01
9,6717b7c979,2018-03-01
9,8d5f73c188,2018-03-01
9,cb7a74ee7e,2018-03-01
9,650f8d74f6,2018-03-01
9,883a09f70d,2018-03-01
9,5ae1bb1c76,2018-03-01
9,9cfecca1a4,2018-03-01
9,c4c37a4b57,2018-03-01
9,adfedb6893,2018-03-01
9,8da781e2bd,2018-03-01
2,50f6f91962,2018-03-01
2,7f0ddbcdde,2018-03-01
2,8ad5789d74,2018-03-01
2,468d34eda4,2018-03-01
2,460afaddb6,2018-03-01
2,8dd82f6cd5,2018-03-01
2,764b9e8d29,2018-03-01
2,66bd21ebf1,2018-03-01
2,fc5289b139,2018-03-01
2,4dffe8578b,2018-03-01
2,2e06817802,2018-03-01
2,b5cb479f7d,2018-03-01
2,93f9bac4b8,2018-03-01
2,6a0f1004bb,2018-03-01
2,3ce8749fee,2018-03-01
2,5f58bfd286,2018-03-01
2,26a569e595,2018-03-01
2,ad516ecd31,2018-03-01
2,0b16a50488,2018-03-01
2,dd1fed906f,2018-03-01
2,8dc4a01dec,2018-03-01
2,fa0a1859ef,2018-03-01
2,2bcc2783a8,2018-03-01
2,0b2fd9f253,2018-03-01
2,416aed740e,2018-03-01
2,4b65db43ac,2018-03-01
2,39310bdad0,2018-03-01
2,c5c5bed056,2018-03-01
2,909cdb73d1,2018-03-01
2,3d531a5f0e,2018-03-01
2,ec6efd9c71,2018-03-01
2,ad71b48a82,2018-03-01
2,6717b7c979,2018-03-01
2,8d5f73c188,2018-03-01
2,cb7a74ee7e,2018-03-01
2,650f8d74f6,2018-03-01
2,883a09f70d,2018-03-01
2,5ae1bb1c76,2018-03-01
2,9cfecca1a4,2018-03-01
2,c4c37a4b57,2018-03-01
2,adfedb6893,2018-03-01
2,8da781e2bd,2018-03-01
24,1c16282add,2018-03-01
24,dc9b0c86c7,2018-03-01
24,2f79c867f3,2018-03-01
24,1b3f5d4d21,2018-03-01
24,b10b452ea9,2018-03-01
24,a4b767f82f,2018-03-01
24,3db18b1707,2018-03-01
24,b3ef67b9ad,2018-03-01
24,4d380cf119,2018-03-01
24,cdee05b50c,2018-03-01
24,7af1d39e64,2018-03-01
24,3418d59e22,2018-03-01
24,1ed5d54069,2018-03-01
24,3c79df1d80,2018-03-01
24,d829f03a28,2018-03-01
24,904fbf8b97,2018-03-01
24,369eb7dbd3,2018-03-01
24,f363f97793,2018-03-01
24,915cd3c4c0,2018-03-01
24,2e69af1fdf,2018-03-01
24,593b9c70a6,2018-03-01
24,8125ba2e29,2018-03-01
24,2efd0bcff7,2018-03-01
24,f16794cf8a,2018-03-01
24,427bea8ec7,2018-03-01
24,4917eb2b81,2018-03-01
24,aa71ad878e,2018-03-01
24,2875387e96,2018-03-01
24,71f49ec147,2018-03-01
24,4e73652dcf,2018-03-01
24,aef5c352fa,2018-03-01
24,d9f70a0db7,2018-03-01
24,75a6494392,2018-03-01
24,097617cf91,2018-03-01
24,0aa7e6b035,2018-03-01
24,904f4bd4c4,2018-03-01
24,2ddb64e05a,2018-03-01
24,bc9cfbd6a1,2018-03-01
24,8a85c4ebdf,2018-03-01
24,fc62f40352,2018-03-01
24,40ae9f0d67,2018-03-01
24,84bcdf1c31,2018-03-01
24,2cb79462fb,2018-03-01
24,1e90ccae50,2018-03-01
24,7d52a4c09b,2018-03-01
24,ad2366f885,2018-03-01
24,7ad80d89c9,2018-03-01
24,1d3b8e84d1,2018-03-01
24,98313ed9cc,2018-03-01
24,8a94ebe448,2018-03-01
24,4ce8de3628,2018-03-01
24,2523d051fd,2018-03-01
24,068f4481b3,2018-03-01
24,a6fd4d9313,2018-03-01
24,ecc00df0b6,2018-03-01
24,80b50a65c4,2018-03-01
24,538d0dfb80,2018-03-01
24,bcd03e6d07,2018-03-01
25,460afaddb6,2018-03-01
25,fc5289b139,2018-03-01
25,2e06817802,2018-03-01
25,93f9bac4b8,2018-03-01
25,6a0f1004bb,2018-03-01
25,0b16a50488,2018-03-01
25,b197843c16,2018-03-01
25,0b2fd9f253,2018-03-01
25,4b65db43ac,2018-03-01
25,c5c5bed056,2018-03-01
25,8d5f73c188,2018-03-01
25,5ae1bb1c76,2018-03-01
4,1c16282add,2018-03-01
4,dc9b0c86c7,2018-03-01
4,1b3f5d4d21,2018-03-01
4,b10b452ea9,2018-03-01
4,a4b767f82f,2018-03-01
4,b3ef67b9ad,2018-03-01
4,7af1d39e64,2018-03-01
4,3418d59e22,2018-03-01
4,1ed5d54069,2018-03-01
4,3c79df1d80,2018-03-01
4,d829f03a28,2018-03-01
4,904fbf8b97,2018-03-01
4,369eb7dbd3,2018-03-01
4,f363f97793,2018-03-01
4,915cd3c4c0,2018-03-01
4,2e69af1fdf,2018-03-01
4,593b9c70a6,2018-03-01
